ip_max      load      peeq  pressure   svmises     triax    eps_cr   csr_max
 77898  2.41e+00  5.88e-03  3.96e+02  2.40e+02  1.65e+00  3.48e-02  1.69e-01
 77898  2.41e+00  6.30e-03  4.12e+02  2.40e+02  1.72e+00  3.14e-02  2.01e-01
 77898  2.41e+00  6.81e-03  4.31e+02  2.40e+02  1.80e+00  2.79e-02  2.44e-01
 77898  2.41e+00  7.32e-03  4.50e+02  2.40e+02  1.87e+00  2.48e-02  2.95e-01
 77898  2.41e+00  7.82e-03  4.68e+02  2.40e+02  1.95e+00  2.21e-02  3.53e-01
 77898  2.41e+00  8.32e-03  4.86e+02  2.40e+02  2.02e+00  1.98e-02  4.20e-01
 77898  2.41e+00  8.91e-03  5.06e+02  2.40e+02  2.11e+00  1.74e-02  5.12e-01
 77898  2.41e+00  9.50e-03  5.26e+02  2.40e+02  2.19e+00  1.54e-02  6.19e-01
 77898  2.41e+00  1.02e-02  5.50e+02  2.40e+02  2.29e+00  1.33e-02  7.69e-01
 77898  2.41e+00  1.09e-02  5.73e+02  2.40e+02  2.39e+00  1.15e-02  9.47e-01
 77898  2.41e+00  1.16e-02  5.95e+02  2.40e+02  2.48e+00  1.00e-02  1.16e+00
 77898  2.41e+00  1.23e-02  6.16e+02  2.40e+02  2.57e+00  8.75e-03  1.40e+00
 77898  2.41e+00  1.31e-02  6.42e+02  2.40e+02  2.67e+00  7.47e-03  1.75e+00
 77898  2.41e+00  1.39e-02  6.66e+02  2.40e+02  2.78e+00  6.41e-03  2.16e+00
 77898  2.41e+00  1.46e-02  6.90e+02  2.40e+02  2.88e+00  5.51e-03  2.66e+00
 77898  2.41e+00  1.56e-02  7.18e+02  2.40e+02  2.99e+00  4.63e-03  3.37e+00
