  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
    1881  1.19e+00  1.04e+02  4.19e-01  1.09e-01  2.00e-02  5.43e+00  4.77e+08  8.78e-10
    1881  1.19e+00  1.09e+02  4.35e-01  1.11e-01  2.00e-02  5.57e+00  3.87e+08  1.12e-09
    1881  1.19e+00  1.13e+02  4.51e-01  1.14e-01  2.00e-02  5.71e+00  3.14e+08  1.43e-09
    1881  1.19e+00  1.18e+02  4.70e-01  1.17e-01  2.00e-02  5.87e+00  2.46e+08  1.91e-09
    1881  1.19e+00  1.23e+02  4.89e-01  1.21e-01  2.00e-02  6.03e+00  1.94e+08  2.53e-09
    1881  1.19e+00  1.29e+02  5.09e-01  1.24e-01  2.00e-02  6.19e+00  1.53e+08  3.32e-09
    1881  1.19e+00  1.34e+02  5.28e-01  1.27e-01  2.00e-02  6.35e+00  1.21e+08  4.35e-09
    1881  1.19e+00  1.39e+02  5.47e-01  1.30e-01  2.00e-02  6.50e+00  9.64e+07  5.67e-09
    1881  1.19e+00  1.44e+02  5.66e-01  1.33e-01  2.00e-02  6.65e+00  7.70e+07  7.35e-09
    1881  1.19e+00  1.49e+02  5.85e-01  1.36e-01  2.00e-02  6.80e+00  6.16e+07  9.49e-09
    1881  1.19e+00  1.55e+02  6.07e-01  1.39e-01  2.00e-02  6.97e+00  4.74e+07  1.28e-08
    1881  1.19e+00  1.62e+02  6.30e-01  1.43e-01  2.00e-02  7.14e+00  3.67e+07  1.72e-08
    1881  1.19e+00  1.68e+02  6.53e-01  1.46e-01  2.00e-02  7.31e+00  2.84e+07  2.29e-08
    1881  1.19e+00  1.74e+02  6.75e-01  1.50e-01  2.00e-02  7.48e+00  2.21e+07  3.05e-08
    1881  1.19e+00  1.80e+02  6.98e-01  1.53e-01  2.00e-02  7.64e+00  1.73e+07  4.03e-08
    1881  1.19e+00  1.86e+02  7.20e-01  1.56e-01  2.00e-02  7.81e+00  1.36e+07  5.31e-08
    1881  1.20e+00  1.92e+02  7.42e-01  1.59e-01  2.00e-02  7.96e+00  1.07e+07  6.95e-08
    1881  1.20e+00  1.99e+02  7.65e-01  1.62e-01  2.00e-02  8.12e+00  8.44e+06  9.06e-08
    1881  1.20e+00  2.06e+02  7.91e-01  1.66e-01  2.00e-02  8.31e+00  6.39e+06  1.24e-07
    1881  1.20e+00  2.13e+02  8.18e-01  1.70e-01  2.00e-02  8.49e+00  4.86e+06  1.68e-07
    1881  1.20e+00  2.21e+02  8.44e-01  1.73e-01  2.00e-02  8.67e+00  3.72e+06  2.27e-07
    1881  1.20e+00  2.28e+02  8.71e-01  1.77e-01  2.00e-02  8.84e+00  2.86e+06  3.05e-07
    1881  1.20e+00  2.36e+02  8.97e-01  1.80e-01  2.00e-02  9.02e+00  2.20e+06  4.07e-07
    1881  1.20e+00  2.43e+02  9.24e-01  1.84e-01  2.00e-02  9.19e+00  1.71e+06  5.41e-07
    1881  1.20e+00  2.50e+02  9.50e-01  1.87e-01  2.00e-02  9.35e+00  1.33e+06  7.15e-07
    1881  1.20e+00  2.58e+02  9.76e-01  1.90e-01  2.00e-02  9.52e+00  1.04e+06  9.42e-07
    1881  1.20e+00  2.65e+02  1.00e+00  1.94e-01  2.00e-02  9.68e+00  8.12e+05  1.24e-06
    1881  1.20e+00  2.73e+02  1.03e+00  1.97e-01  2.00e-02  9.84e+00  6.37e+05  1.61e-06
    1881  1.20e+00  2.82e+02  1.06e+00  2.01e-01  2.00e-02  1.00e+01  4.79e+05  2.21e-06
    1881  1.20e+00  2.90e+02  1.09e+00  2.04e-01  2.00e-02  1.02e+01  3.62e+05  3.01e-06
