  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
     800  6.98e+05  6.99e-01  9.37e-03  3.60e+02  2.40e+02  1.50e+00  4.35e-02  2.15e-01
     800  6.99e+05  7.13e-01  9.64e-03  3.63e+02  2.40e+02  1.51e+00  4.26e-02  2.26e-01
     800  6.99e+05  7.31e-01  9.96e-03  3.67e+02  2.40e+02  1.53e+00  4.16e-02  2.39e-01
     800  6.99e+05  7.48e-01  1.03e-02  3.70e+02  2.40e+02  1.54e+00  4.07e-02  2.52e-01
     800  7.00e+05  7.66e-01  1.06e-02  3.74e+02  2.40e+02  1.56e+00  3.99e-02  2.66e-01
     800  7.00e+05  7.83e-01  1.09e-02  3.77e+02  2.40e+02  1.57e+00  3.91e-02  2.79e-01
     800  7.00e+05  8.00e-01  1.12e-02  3.80e+02  2.40e+02  1.58e+00  3.84e-02  2.92e-01
     800  7.00e+05  8.18e-01  1.16e-02  3.82e+02  2.40e+02  1.59e+00  3.78e-02  3.06e-01
     800  7.00e+05  8.35e-01  1.19e-02  3.85e+02  2.40e+02  1.60e+00  3.72e-02  3.20e-01
     800  7.00e+05  8.53e-01  1.22e-02  3.87e+02  2.40e+02  1.61e+00  3.66e-02  3.33e-01
     800  6.99e+05  8.70e-01  1.25e-02  3.90e+02  2.40e+02  1.62e+00  3.61e-02  3.47e-01
     800  6.99e+05  8.88e-01  1.28e-02  3.92e+02  2.40e+02  1.63e+00  3.56e-02  3.61e-01
     800  6.99e+05  9.05e-01  1.32e-02  3.94e+02  2.40e+02  1.64e+00  3.51e-02  3.74e-01
     800  6.98e+05  9.23e-01  1.35e-02  3.96e+02  2.40e+02  1.65e+00  3.48e-02  3.88e-01
     800  6.98e+05  9.40e-01  1.38e-02  3.97e+02  2.40e+02  1.66e+00  3.44e-02  4.01e-01
     800  6.98e+05  9.58e-01  1.41e-02  3.99e+02  2.40e+02  1.66e+00  3.41e-02  4.13e-01
     800  6.97e+05  9.75e-01  1.44e-02  4.00e+02  2.40e+02  1.67e+00  3.39e-02  4.26e-01
     800  6.97e+05  9.93e-01  1.47e-02  4.01e+02  2.40e+02  1.67e+00  3.36e-02  4.38e-01
     800  6.96e+05  1.01e+00  1.51e-02  4.02e+02  2.40e+02  1.67e+00  3.35e-02  4.50e-01
     800  6.96e+05  1.03e+00  1.54e-02  4.03e+02  2.40e+02  1.68e+00  3.33e-02  4.62e-01
     800  6.95e+05  1.05e+00  1.57e-02  4.03e+02  2.40e+02  1.68e+00  3.32e-02  4.73e-01
     800  6.95e+05  1.06e+00  1.60e-02  4.04e+02  2.40e+02  1.68e+00  3.31e-02  4.84e-01
     800  6.94e+05  1.08e+00  1.63e-02  4.04e+02  2.40e+02  1.68e+00  3.30e-02  4.94e-01
     800  6.93e+05  1.10e+00  1.66e-02  4.04e+02  2.40e+02  1.68e+00  3.30e-02  5.05e-01
     800  6.92e+05  1.12e+00  1.70e-02  4.04e+02  2.40e+02  1.68e+00  3.30e-02  5.15e-01
     800  6.92e+05  1.13e+00  1.73e-02  4.04e+02  2.40e+02  1.68e+00  3.30e-02  5.24e-01
     800  6.91e+05  1.15e+00  1.76e-02  4.04e+02  2.40e+02  1.68e+00  3.30e-02  5.33e-01
     800  6.90e+05  1.17e+00  1.79e-02  4.04e+02  2.40e+02  1.68e+00  3.31e-02  5.41e-01
     800  6.89e+05  1.19e+00  1.82e-02  4.03e+02  2.40e+02  1.68e+00  3.32e-02  5.49e-01
     800  6.88e+05  1.20e+00  1.85e-02  4.03e+02  2.40e+02  1.68e+00  3.33e-02  5.57e-01
     800  6.87e+05  1.22e+00  1.88e-02  4.02e+02  2.40e+02  1.67e+00  3.34e-02  5.64e-01
     800  6.86e+05  1.24e+00  1.92e-02  4.01e+02  2.40e+02  1.67e+00  3.36e-02  5.70e-01
     800  6.86e+05  1.25e+00  1.94e-02  4.00e+02  2.40e+02  1.67e+00  3.38e-02  5.75e-01
     800  6.85e+05  1.27e+00  1.97e-02  3.99e+02  2.40e+02  1.66e+00  3.40e-02  5.79e-01
     800  6.84e+05  1.28e+00  1.99e-02  3.98e+02  2.40e+02  1.66e+00  3.42e-02  5.83e-01
     800  6.83e+05  1.30e+00  2.02e-02  3.97e+02  2.40e+02  1.66e+00  3.44e-02  5.87e-01
     800  6.82e+05  1.31e+00  2.04e-02  3.96e+02  2.40e+02  1.65e+00  3.46e-02  5.91e-01
     800  6.81e+05  1.33e+00  2.08e-02  3.95e+02  2.40e+02  1.65e+00  3.49e-02  5.94e-01
     800  6.80e+05  1.35e+00  2.11e-02  3.93e+02  2.40e+02  1.64e+00  3.53e-02  5.97e-01
     800  6.79e+05  1.36e+00  2.14e-02  3.92e+02  2.40e+02  1.63e+00  3.56e-02  6.00e-01
     800  6.78e+05  1.38e+00  2.17e-02  3.90e+02  2.40e+02  1.63e+00  3.60e-02  6.02e-01
     800  6.77e+05  1.40e+00  2.20e-02  3.88e+02  2.40e+02  1.62e+00  3.64e-02  6.04e-01
