  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  1.67e-02  5.88e-02  0.00e+00  4.34e-01  1.16e+00  3.73e-01  2.36e-01  0.00e+00
       0  3.67e-02  1.29e-01  0.00e+00  9.54e-01  2.56e+00  3.73e-01  2.36e-01  0.00e+00
       0  6.07e-02  2.14e-01  0.00e+00  1.58e+00  4.23e+00  3.73e-01  2.36e-01  0.00e+00
       0  8.95e-02  3.16e-01  0.00e+00  2.33e+00  6.24e+00  3.73e-01  2.36e-01  0.00e+00
       0  1.24e-01  4.38e-01  0.00e+00  3.23e+00  8.66e+00  3.73e-01  2.36e-01  0.00e+00
       0  1.65e-01  5.84e-01  0.00e+00  4.30e+00  1.16e+01  3.73e-01  2.36e-01  0.00e+00
       0  2.15e-01  7.60e-01  0.00e+00  5.60e+00  1.50e+01  3.73e-01  2.36e-01  0.00e+00
       0  2.75e-01  9.70e-01  0.00e+00  7.15e+00  1.92e+01  3.73e-01  2.36e-01  0.00e+00
       0  3.47e-01  1.22e+00  0.00e+00  9.02e+00  2.42e+01  3.73e-01  2.36e-01  0.00e+00
       0  4.33e-01  1.53e+00  0.00e+00  1.13e+01  3.02e+01  3.73e-01  2.36e-01  0.00e+00
     810  5.34e-01  1.89e+00  4.65e-04  2.21e+02  2.41e+02  9.17e-01  1.04e-01  4.46e-03
     218  6.29e-01  2.26e+00  1.11e-03  2.97e+02  2.42e+02  1.23e+00  6.54e-02  1.70e-02
     218  6.99e-01  2.57e+00  1.98e-03  3.35e+02  2.44e+02  1.37e+00  5.25e-02  3.77e-02
     218  7.54e-01  2.84e+00  2.77e-03  3.66e+02  2.46e+02  1.49e+00  4.40e-02  6.29e-02
     218  7.98e-01  3.07e+00  3.44e-03  3.92e+02  2.47e+02  1.59e+00  3.80e-02  9.05e-02
     218  8.32e-01  3.26e+00  4.01e-03  4.14e+02  2.48e+02  1.67e+00  3.38e-02  1.19e-01
     218  8.65e-01  3.45e+00  4.59e-03  4.34e+02  2.49e+02  1.74e+00  3.02e-02  1.52e-01
     218  8.96e-01  3.65e+00  5.19e-03  4.53e+02  2.50e+02  1.81e+00  2.73e-02  1.90e-01
    4784  9.26e-01  3.85e+00  4.28e-03  5.18e+02  2.49e+02  2.08e+00  1.81e-02  2.37e-01
