  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  1.67e-02  6.06e-02  0.00e+00 -8.88e-02  4.97e-01 -1.79e-01  5.39e-01  0.00e+00
       0  3.67e-02  1.33e-01  0.00e+00 -1.95e-01  1.09e+00 -1.79e-01  5.39e-01  0.00e+00
       0  6.07e-02  2.21e-01  0.00e+00 -3.23e-01  1.81e+00 -1.79e-01  5.39e-01  0.00e+00
       0  8.95e-02  3.25e-01  0.00e+00 -4.77e-01  2.67e+00 -1.79e-01  5.39e-01  0.00e+00
       0  1.24e-01  4.51e-01  0.00e+00 -6.61e-01  3.70e+00 -1.79e-01  5.39e-01  0.00e+00
       0  1.65e-01  6.02e-01  0.00e+00 -8.82e-01  4.93e+00 -1.79e-01  5.39e-01  0.00e+00
       0  2.15e-01  7.83e-01  0.00e+00 -1.15e+00  6.41e+00 -1.79e-01  5.39e-01  0.00e+00
       0  2.75e-01  1.00e+00  0.00e+00 -1.47e+00  8.19e+00 -1.79e-01  5.39e-01  0.00e+00
       0  3.47e-01  1.26e+00  0.00e+00 -1.85e+00  1.03e+01 -1.79e-01  5.39e-01  0.00e+00
  147736  4.32e-01  1.57e+00  5.63e-04  2.51e+02  2.40e+02  1.05e+00  8.57e-02  6.57e-03
  147736  5.15e-01  1.89e+00  1.57e-03  2.75e+02  2.40e+02  1.14e+00  7.41e-02  2.12e-02
  147736  5.78e-01  2.15e+00  2.66e-03  2.89e+02  2.40e+02  1.20e+00  6.78e-02  3.92e-02
  155796  6.26e-01  2.37e+00  2.59e-03  3.83e+02  2.40e+02  1.59e+00  3.77e-02  6.87e-02
  155796  6.65e-01  2.57e+00  3.41e-03  4.14e+02  2.40e+02  1.72e+00  3.11e-02  1.10e-01
  155796  6.96e-01  2.73e+00  4.11e-03  4.38e+02  2.40e+02  1.83e+00  2.67e-02  1.54e-01
  155796  7.21e-01  2.86e+00  4.70e-03  4.57e+02  2.40e+02  1.91e+00  2.37e-02  1.99e-01
  155796  7.44e-01  3.00e+00  5.29e-03  4.75e+02  2.40e+02  1.98e+00  2.12e-02  2.50e-01
  155796  7.68e-01  3.14e+00  5.89e-03  4.92e+02  2.40e+02  2.05e+00  1.91e-02  3.09e-01
  155796  7.90e-01  3.28e+00  6.50e-03  5.08e+02  2.40e+02  2.12e+00  1.72e-02  3.77e-01
  155796  8.12e-01  3.42e+00  7.11e-03  5.23e+02  2.40e+02  2.18e+00  1.57e-02  4.54e-01
  155796  8.33e-01  3.56e+00  7.74e-03  5.37e+02  2.40e+02  2.24e+00  1.43e-02  5.40e-01
  155796  8.54e-01  3.70e+00  8.38e-03  5.51e+02  2.40e+02  2.30e+00  1.32e-02  6.36e-01
  155796  8.74e-01  3.85e+00  9.03e-03  5.64e+02  2.40e+02  2.35e+00  1.22e-02  7.42e-01
  155796  8.93e-01  3.99e+00  9.68e-03  5.75e+02  2.40e+02  2.40e+00  1.13e-02  8.56e-01
  155796  9.12e-01  4.13e+00  1.03e-02  5.86e+02  2.40e+02  2.44e+00  1.05e-02  9.80e-01
  155796  9.31e-01  4.28e+00  1.10e-02  5.97e+02  2.40e+02  2.49e+00  9.86e-03  1.12e+00
  155796  9.49e-01  4.42e+00  1.17e-02  6.08e+02  2.40e+02  2.53e+00  9.24e-03  1.26e+00
  155796  9.66e-01  4.57e+00  1.23e-02  6.17e+02  2.40e+02  2.57e+00  8.70e-03  1.42e+00
  155796  9.81e-01  4.72e+00  1.30e-02  6.26e+02  2.40e+02  2.61e+00  8.22e-03  1.58e+00
  155796  9.96e-01  4.86e+00  1.37e-02  6.35e+02  2.40e+02  2.65e+00  7.79e-03  1.76e+00
  155796  1.01e+00  5.01e+00  1.44e-02  6.43e+02  2.40e+02  2.68e+00  7.40e-03  1.94e+00
  155796  1.02e+00  5.16e+00  1.50e-02  6.51e+02  2.40e+02  2.71e+00  7.05e-03  2.13e+00
  155796  1.04e+00  5.31e+00  1.57e-02  6.59e+02  2.40e+02  2.74e+00  6.72e-03  2.34e+00
  155796  1.05e+00  5.46e+00  1.64e-02  6.66e+02  2.40e+02  2.77e+00  6.43e-03  2.55e+00
  155796  1.06e+00  5.61e+00  1.71e-02  6.72e+02  2.40e+02  2.80e+00  6.16e-03  2.78e+00
  155796  1.07e+00  5.76e+00  1.78e-02  6.79e+02  2.40e+02  2.83e+00  5.92e-03  3.00e+00
  155796  1.08e+00  5.91e+00  1.85e-02  6.85e+02  2.40e+02  2.85e+00  5.71e-03  3.24e+00
