  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  1.67e-02  5.88e-02  0.00e+00  4.34e-01  1.16e+00  3.73e-01  2.36e-01  0.00e+00
       0  3.67e-02  1.29e-01  0.00e+00  9.54e-01  2.56e+00  3.73e-01  2.36e-01  0.00e+00
       0  6.07e-02  2.14e-01  0.00e+00  1.58e+00  4.23e+00  3.73e-01  2.36e-01  0.00e+00
       0  8.95e-02  3.16e-01  0.00e+00  2.33e+00  6.24e+00  3.73e-01  2.36e-01  0.00e+00
       0  1.24e-01  4.38e-01  0.00e+00  3.23e+00  8.66e+00  3.73e-01  2.36e-01  0.00e+00
       0  1.65e-01  5.84e-01  0.00e+00  4.30e+00  1.16e+01  3.73e-01  2.36e-01  0.00e+00
       0  2.15e-01  7.60e-01  0.00e+00  5.60e+00  1.50e+01  3.73e-01  2.36e-01  0.00e+00
       0  2.75e-01  9.70e-01  0.00e+00  7.15e+00  1.92e+01  3.73e-01  2.36e-01  0.00e+00
       0  3.47e-01  1.22e+00  0.00e+00  9.02e+00  2.42e+01  3.73e-01  2.36e-01  0.00e+00
       0  4.33e-01  1.53e+00  0.00e+00  1.13e+01  3.02e+01  3.73e-01  2.36e-01  0.00e+00
     810  5.34e-01  1.89e+00  4.73e-04  2.21e+02  2.40e+02  9.21e-01  1.04e-01  4.57e-03
     218  6.29e-01  2.26e+00  1.15e-03  2.98e+02  2.40e+02  1.24e+00  6.42e-02  1.79e-02
     218  6.98e-01  2.58e+00  2.06e-03  3.35e+02  2.40e+02  1.40e+00  5.07e-02  4.06e-02
     218  7.53e-01  2.84e+00  2.89e-03  3.67e+02  2.40e+02  1.53e+00  4.16e-02  6.93e-02
     218  7.96e-01  3.07e+00  3.60e-03  3.93e+02  2.40e+02  1.64e+00  3.54e-02  1.02e-01
     218  8.29e-01  3.26e+00  4.20e-03  4.14e+02  2.40e+02  1.73e+00  3.10e-02  1.36e-01
     218  8.62e-01  3.46e+00  4.82e-03  4.35e+02  2.40e+02  1.81e+00  2.72e-02  1.77e-01
     218  8.92e-01  3.66e+00  5.47e-03  4.53e+02  2.40e+02  1.89e+00  2.43e-02  2.25e-01
     218  9.21e-01  3.85e+00  6.12e-03  4.71e+02  2.40e+02  1.96e+00  2.17e-02  2.83e-01
