  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  3.33e-02  1.23e-01  0.00e+00 -1.22e+00  2.14e+00 -5.69e-01  9.68e-01  0.00e+00
       0  7.33e-02  2.71e-01  0.00e+00 -2.69e+00  4.72e+00 -5.69e-01  9.68e-01  0.00e+00
       0  1.21e-01  4.48e-01  0.00e+00 -4.44e+00  7.81e+00 -5.69e-01  9.68e-01  0.00e+00
       0  1.79e-01  6.61e-01  0.00e+00 -6.55e+00  1.15e+01 -5.69e-01  9.68e-01  0.00e+00
       0  2.48e-01  9.16e-01  0.00e+00 -9.08e+00  1.60e+01 -5.69e-01  9.68e-01  0.00e+00
  689924  3.31e-01  1.22e+00  3.94e-05  1.99e+02  2.40e+02  8.31e-01  1.19e-01  3.33e-04
  689924  4.29e-01  1.59e+00  9.31e-04  2.60e+02  2.42e+02  1.08e+00  8.21e-02  1.13e-02
  689924  4.76e-01  1.77e+00  1.78e-03  2.84e+02  2.44e+02  1.16e+00  7.19e-02  2.47e-02
  689924  5.13e-01  1.93e+00  2.61e-03  2.98e+02  2.45e+02  1.22e+00  6.66e-02  3.92e-02
  689924  5.43e-01  2.06e+00  3.43e-03  3.06e+02  2.47e+02  1.24e+00  6.42e-02  5.34e-02
  689924  5.67e-01  2.18e+00  4.15e-03  3.11e+02  2.48e+02  1.25e+00  6.31e-02  6.58e-02
  689926  5.86e-01  2.27e+00  3.90e-03  3.45e+02  2.48e+02  1.39e+00  5.10e-02  7.65e-02
  689926  6.02e-01  2.35e+00  4.37e-03  3.52e+02  2.49e+02  1.41e+00  4.94e-02  8.83e-02
  689926  6.17e-01  2.43e+00  4.85e-03  3.58e+02  2.50e+02  1.43e+00  4.81e-02  1.01e-01
  633602  6.33e-01  2.51e+00  4.10e-03  4.08e+02  2.48e+02  1.64e+00  3.50e-02  1.17e-01
  633602  6.48e-01  2.59e+00  4.49e-03  4.18e+02  2.49e+02  1.68e+00  3.32e-02  1.35e-01
  633602  6.63e-01  2.67e+00  4.88e-03  4.28e+02  2.50e+02  1.71e+00  3.16e-02  1.55e-01
  633602  6.77e-01  2.75e+00  5.28e-03  4.37e+02  2.51e+02  1.74e+00  3.02e-02  1.75e-01
  633602  6.92e-01  2.83e+00  5.68e-03  4.46e+02  2.51e+02  1.77e+00  2.89e-02  1.97e-01
  633602  7.06e-01  2.91e+00  6.09e-03  4.54e+02  2.52e+02  1.80e+00  2.77e-02  2.20e-01
  633602  7.20e-01  2.99e+00  6.49e-03  4.62e+02  2.53e+02  1.83e+00  2.66e-02  2.44e-01
  633602  7.34e-01  3.08e+00  6.91e-03  4.70e+02  2.54e+02  1.85e+00  2.56e-02  2.70e-01
  633602  7.47e-01  3.16e+00  7.34e-03  4.77e+02  2.55e+02  1.87e+00  2.48e-02  2.96e-01
  633602  7.61e-01  3.24e+00  7.77e-03  4.84e+02  2.56e+02  1.90e+00  2.40e-02  3.24e-01
  633602  7.74e-01  3.32e+00  8.21e-03  4.91e+02  2.56e+02  1.91e+00  2.33e-02  3.52e-01
  633602  7.87e-01  3.41e+00  8.65e-03  4.97e+02  2.57e+02  1.93e+00  2.27e-02  3.81e-01
  633602  7.99e-01  3.49e+00  9.09e-03  5.03e+02  2.58e+02  1.95e+00  2.21e-02  4.10e-01
  633602  8.12e-01  3.58e+00  9.53e-03  5.09e+02  2.59e+02  1.96e+00  2.16e-02  4.40e-01
  633602  8.24e-01  3.66e+00  9.97e-03  5.14e+02  2.60e+02  1.98e+00  2.12e-02  4.71e-01
  633602  8.37e-01  3.74e+00  1.04e-02  5.20e+02  2.61e+02  1.99e+00  2.08e-02  5.02e-01
  633602  8.49e-01  3.83e+00  1.09e-02  5.25e+02  2.62e+02  2.01e+00  2.04e-02  5.33e-01
  633602  8.60e-01  3.91e+00  1.13e-02  5.30e+02  2.63e+02  2.02e+00  2.00e-02  5.65e-01
  633602  8.72e-01  4.00e+00  1.18e-02  5.35e+02  2.64e+02  2.03e+00  1.97e-02  5.98e-01
  633602  8.83e-01  4.08e+00  1.22e-02  5.39e+02  2.64e+02  2.04e+00  1.93e-02  6.31e-01
