ip_max      load      peeq  pressure   svmises     triax    eps_cr   csr_max
 18506  2.41e+00  1.96e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  7.87e-02
 18506  2.41e+00  2.18e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  8.74e-02
 18506  2.41e+00  2.39e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  9.61e-02
 18506  2.41e+00  2.61e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  1.05e-01
 18506  2.41e+00  2.83e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  1.13e-01
 18506  2.41e+00  3.09e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  1.24e-01
 18506  2.41e+00  3.35e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  1.34e-01
 18506  2.41e+00  3.66e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  1.47e-01
 18506  2.41e+00  3.98e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  1.60e-01
 18506  2.41e+00  4.29e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  1.72e-01
 18506  2.41e+00  4.61e-02  8.05e+01  2.40e+02  3.35e-01  2.49e-01  1.85e-01
 18821  2.41e+00  5.10e-03  4.49e+02  2.40e+02  1.87e+00  2.48e-02  2.05e-01
 18821  2.41e+00  5.45e-03  4.60e+02  2.40e+02  1.92e+00  2.33e-02  2.34e-01
 18821  2.41e+00  5.79e-03  4.69e+02  2.40e+02  1.96e+00  2.19e-02  2.64e-01
 18821  2.41e+00  6.14e-03  4.79e+02  2.40e+02  2.00e+00  2.07e-02  2.97e-01
 18821  2.41e+00  6.55e-03  4.89e+02  2.40e+02  2.04e+00  1.93e-02  3.38e-01
 18821  2.41e+00  6.95e-03  5.00e+02  2.40e+02  2.08e+00  1.82e-02  3.83e-01
 18821  2.41e+00  7.36e-03  5.09e+02  2.40e+02  2.12e+00  1.71e-02  4.31e-01
 18821  2.41e+00  7.77e-03  5.19e+02  2.40e+02  2.16e+00  1.61e-02  4.82e-01
 18821  2.41e+00  8.25e-03  5.29e+02  2.40e+02  2.21e+00  1.51e-02  5.47e-01
 18821  2.41e+00  8.73e-03  5.39e+02  2.40e+02  2.25e+00  1.42e-02  6.17e-01
 18821  2.41e+00  9.21e-03  5.49e+02  2.40e+02  2.29e+00  1.33e-02  6.92e-01
 18821  2.41e+00  9.69e-03  5.58e+02  2.40e+02  2.33e+00  1.26e-02  7.71e-01
 18821  2.41e+00  1.03e-02  5.69e+02  2.40e+02  2.37e+00  1.17e-02  8.74e-01
 18821  2.41e+00  1.08e-02  5.80e+02  2.40e+02  2.41e+00  1.10e-02  9.84e-01
 18821  2.41e+00  1.14e-02  5.89e+02  2.40e+02  2.46e+00  1.04e-02  1.10e+00
 18821  2.41e+00  1.20e-02  5.99e+02  2.40e+02  2.50e+00  9.76e-03  1.23e+00
 18821  2.41e+00  1.25e-02  6.08e+02  2.40e+02  2.53e+00  9.22e-03  1.36e+00
 18821  2.41e+00  1.32e-02  6.19e+02  2.40e+02  2.58e+00  8.63e-03  1.53e+00
